article_name,article_content
078.txt,"deadline nears fiat-gm deal fiat general motor ( gm ) midnight 1 february settle disagreement potential takeover . deadline mark point fiat gain right sell car division gm , part alliance agreed 2000. gm , whose european operation losing money , longer want unprofitable fiat unit . report deadlocked talk sent fiat share 1.2 % tuesday , monday 's 4 % gain hope payoff . u firm thought offering $ 2bn ( £1.06bn ) extricate arrangement . argued deal voided fiat 's decision sell fiat 's finance arm halve gm 's stake via capital-raising effort . 2000 deal resulted race gm daimlerchrysler ally fiat . german firm wanted buy fiat outright . gianni agnelli , godfather group , wanted keep control , preferred gm 's offer buy 20 % stake give fiat right sell future , known `` put option '' . since , however , fiat car lost market share firm piled loss , plan raise new money 2003 cut gm 's stake half 10 % . part , gm 's european unit opel saab trouble , opel management threatening cut 12,000 job . `` last thing need additional production capacity europe , '' said patrick juchemich , auto analyst sal oppenheim bank ."
079.txt,"id theft surge hit u consumer almost quarter million u consumer complained targeted identity theft 2004 , official figure suggest . federal trade commission said two five 635,173 report consumer concerned id fraud . id theft occurs criminal use someone else 's personal information steal credit commit crime . internet auction second biggest source fraud complaint , comprising 16 % total . total cost fraud reported consumer $ 546m ( £290m ) . report mark fifth year row identity fraud topped table . biggest slice 246,570 id fraud case reported - almost 30 % - concerned abuse people 's credit . misusing someone 's identity claim new credit card loan comprised 16.5 % total , almost 12 % coming false claim existing credit . another 18 % came attempt rip people 's bank account , 13 % case concerned attempt defraud employer abusing someone else 's identity . outside field id theft , 53 % near-400,000 complaint internet-related . among 100,000 internet auction complaint , failure seller deliver supply sub-standard good common woe reported . catalogue home-shopping fraud next line , accounting 8 % total complaint , concern internet service computer - including spyware found people 's pc undisclosed charge website - amounted 6 % complaint ."
080.txt,"argentina , venezuela oil deal argentina venezuela extended food-for-oil deal , helped former overcome severe energy crisis last year . argentine president nestor kirchner venezuelan president hugo chavez signed deal buenos aire tuesday . last april , argentina signed $ 240m agreement import venezuelan fuel exchange agricultural good deal extended . venezuela import cattle , medicine medical equipment . last year , argentina 's severe energy crisis forced president kirchner suspend gas export chile . argentina fear rising demand could spark another crisis want prevent signing deal . two country also formalised co-operation deal venezuelan energy firm pdvsa argentina 's enarsa . deal , argentine market opened venezuelan investment . president chavez added brazil 's petrobras could join soon co-operation deal . president chavez ardent promoter concept south american oil company , could include state-owned company venezuela , argentina , brazil bolivia . two president also agreed create 'television sur ' , latin american network state-owned television channel ."
081.txt,"bmw recall faulty diesel car bmw recall car equipped faulty diesel fuel-injection pump supplied part maker robert bosch . faulty part represent safety risk recall affect pump made december january . bmw said early say many car affected much recall would cost . german company extend planned production break one plant due faulty bosch part . dingolfing site closed next week instead two day . additional three-day stoppage mean production loss 3,600 vehicle , bmw said , adding confident could make number later . bosch stopped production part expects restart 2 february . faulty component represent safety risk cause motor stall significant amount mileage . asked bmw would seeking compensation bosch , carmaker 's chief executive helmut panke said : `` first solve problem talking pay '' . audi mercedes benz also supplied defective diesel fuel-injection pump neither recall vehicle . spokesman daimlerchrysler , parent company mercedes benz , said however halt production . close mercedes factory sindelfingen monday tuesday . audi said hit production bottleneck , due shortage unaffected bosch part ."
083.txt,"yukos accused lying court russian oil firm yukos lied u court attempt stop russian government selling key production unit , court heard . unit , yugansk , sold pay $ 27.5bn ( £14.5bn ) back tax bill . yukos argued since u subsidiary local bank account , u court could declare bankrupt stop auction yugansk . deutsche bank - target yukos lawsuit - said document backdated strengthen case . deutsche bank 's evidence came first day two-day hearing houston . lawyer , hugh ray , told court yukos claimed transferred $ 27m two texas bank account opened new u subsidiary . , said , firm intended reinforce u presence - thus chance getting case heard u court . said paper documenting transaction drawn till week yukos made bankruptcy application 14 december , backdated . yukos chief financial officer bruce misamore , moved u early december set yukos usa , acknowledged point . said discrepancy paperwork , money indeed transferred 14 december . even , told court $ 480,000 account day , rest arriving day later . deutsche bank involved case sued yukos . agreed loan arm russian state gas firm gazprom money bid yuganskneftegaz , yukos unit formally known . sale went ahead , despite order u bankruptcy court ordered stopped . end , auction unknown shell company $ 9.4bn - much le assessment value - ending hand state-controlled oil firm rosneft . rosneft , meanwhile , agreed merge gazprom , bringing large chunk russia 's profitable oil business back state control . yukos maintains filed bankruptcy u feared would able russia . also said event going bust , could offer chance restructuring . `` give u kind life death alternative , '' said yukos chief executive steven theede . yukos currently suing four company - gazprom , unit gazpromneft , rosneft shell company bidding - part yugansk 's disposal . also threatened sue russian government $ 28bn . analyst questioned whether u court jurisdiction russian company , moscow official dismissed yukos ' legal wrangling meaningless . yukos claim right shareholder ignored punished political ambition founder mikhail khodorkovsky . mr khodorkovsky , russia 's richest man , prison , charged fraud tax evasion repeatedly denied bail ."
082.txt,"takeover rumour lift exel share share storage delivery firm exel closed 9 % two-and-a-half year high tuesday speculation receive imminent takeover bid . talk city u giant united parcel service ( ups ) likely bidder firm . yet name mentioned connection buying exel dhl-owner deutsche post finance firm ge capital . share closing tuesday 873p , bracknell-based exel currently valued £2.6bn ( $ 6.3bn ) . exel employ 109,000 people 120 country active consolidation logistics sector , paying £328m buy fellow uk firm tibbett & britten last august . customer include boot , burberry , mothercare consumer product giant procter & gamble . andrew beh , broker ing , said ups deutsche post likely bidder offer 950p share would fair bidding battle break . `` 's great strategic fit company , '' said . `` interested expanding logistics make decent case cost synergy could justify premium 's make argument revenue synergy . ''"
084.txt,"mexican u send $ 16bn home mexican labourer living u sent record $ 16.6bn ( £8.82bn ) home last year . bank mexico said remittance grew 24 % last year represent country 's second-biggest source income oil . better record greater prosperity mexican expatriate u main reason behind increase . 10 million mexican live u , 16 million citizen mexican origin . remittance represent 2 % country 's gdp , according bank mexico 's figure . last year , 50.9 million transaction , average value $ 327 per remittance , bank said . according standard & poor 's , recently upgraded mexico 's sovereign debt rating , rise remittance help protect mexican economy potential fall international oil price . growth remittance sparked fierce competition bank . bank america announced last week planned eliminate transfer fee customer . remittance charge estimated dropped 50 60 % , report u treasury inter-american development bank said . inter-american development bank estimate remittance latin america caribbean reached $ 45bn 2004 ."
086.txt,"manufacturing recovery 'slowing ' uk manufacturing grew slowest pace one-and-a-half year january , according survey . chartered institute purchasing supply ( cips ) said purchasing manager index ( pmi ) fell 51.8 revised 53.3 december . , despite missing forecast 53.7 , pmi number remained 50 - indicating expansion sector . cips said strong pound dented export rising oil metal price kept cost high . survey added rising input price cooling demand deterred factory manager hiring new worker effort cut cost . triggered second successive monthly fall cips employment index 48.3 - lowest level since june 2003. survey upbeat official figure - suggest manufacturing recession - analyst said survey suggest manufacturing recovery running steam . `` appears uk two-tier economy , '' said prebon yamane economist lena komileva . `` weakness manufacturing , think would concern policymakers bank england . ''"
085.txt,"home loan approval rising number mortgage approved uk risen first time since may last year , according lending figure bank england . new loan december rose 83,000 , slightly higher november 's nine-year low 77,000. mortgage lending rose £7.1bn december , £6.4bn rise november . figure contradict survey british banker ' association , said approval five-year low . analyst say figure show market may stabilising still point house price softness . `` modest rise mortgage approval lending december reinforces impression housing market currently slowing steadily rather sharply , '' said global insight analyst howard archer , commenting boe 's figure . bba belief property market continuing cool . change mortgage regulation may artificially depressed figure november , thus flattering december figure , analyst said . october last year , new rule came force , meant lender forced withdraw mortgage product temporarily november defer lending made sure complied rule properly . separately , bank england said consumer credit rose £1.5bn december , £1.4bn expected £1.4bn reported previous month ."
087.txt,"worldcom bos 'left book alone ' former worldcom bos bernie ebbers , accused overseeing $ 11bn ( £5.8bn ) fraud , never made accounting decision , witness told juror . david myers made comment questioning defence lawyer arguing mr ebbers responsible worldcom 's problem . phone company collapsed 2002 prosecutor claim loss hidden protect firm 's share . mr myers already pleaded guilty fraud assisting prosecutor . monday , defence lawyer reid weingarten tried distance client allegation . cross examination , asked mr myers ever knew mr ebbers `` make accounting decision ? '' . `` aware , '' mr myers replied . `` ever know mr ebbers make accounting entry worldcom book ? '' mr weingarten pressed . `` , '' replied witness . mr myers admitted ordered false accounting entry request former worldcom chief financial officer scott sullivan . defence lawyer trying paint mr sullivan , admitted fraud testify later trial , mastermind behind worldcom 's accounting house card . mr ebbers ' team , meanwhile , looking portray affable bos , admission pe graduate economist . whatever ability , mr ebbers transformed worldcom relative unknown $ 160bn telecom giant investor darling late 1990s . worldcom 's problem mounted , however , competition increased telecom boom petered . firm finally collapsed , shareholder lost $ 180bn 20,000 worker lost job . mr ebbers ' trial expected last two month found guilty former ceo face substantial jail sentence . firmly declared innocence ."
089.txt,"europe blame u weak dollar european leader openly blamed u sharp rise value euro . u official talking dollar , said , failing take action back word . meeting brussels , finance minister 12 eurozone country voiced concern rise european currency harming export . dollar within touching distance all-time low reached earlier november . 0619 gmt tuesday , dollar slightly $ 1.29 euro , buying 105.6 yen tokyo . rallied briefly monday amid sign oil price easing . analyst said respite likely temporary . european minister ' comment , said junya tanase jpmorgan chase bank tokyo , `` generally weak produce market reaction '' . still , standard diplomacy european minister forthright . nicolas sarkozy france said colleague unanimous worry decline dollar would hit europe 's economy eating export . `` concerned development , destabilising , linked accumulation deficit american friend , '' said . comment come day u treasury secretary john snow said strong dollar `` america 's interest '' . enough mr sarkozy . `` american change policy , 's say , '' said . european union 's monetary affair commissioner , made clear action necessary . `` fully welcome word mr snow , '' said joaquin almunia , `` need see decision adopted direction . `` imbalance u economy adjusted future , decision market past week . '' economist point whatever europe say , short term weaker dollar boon president george w bush 's administration . boost u export , also make budget deficit easier fund . hand , slower european export would mean slower eu growth - potentially reducing demand u good ."
088.txt,"metlife buy citigroup insurer u banking giant citigroup sold traveler life & annuity insurance arm metlife $ 11.5bn ( £6.1bn ) . sale move citigroup away 1990s strategy offering every financial service - insurance , broking banking . profit growth insurance market matched expansion citigroup 's business . metlife , u 's leading insurance company , purchase give access much larger distribution network . robert benmosche , metlife 's chairman chief executive , said `` great opportunity brand metlife distributed citigroup '' . agreement , metlife able sell product citigroup next 10 year . deal includes smith barney retail brokerage citibank branch . company pay $ 1bn $ 3bn metlife stock rest made cash . traveler sale $ 5.2bn 2004 made profit $ 901m . total net asset $ 96bn . `` deal employ metlife 's excess capital potentially higher-return business give distribution , '' said stuart quint , analyst gartmore ."
090.txt,"french wine get 70m euro top-up french government hand struggling wine industry 70m euro ( $ 91m ) aid help battle falling sale damaging overproduction . financial package aimed assisting vintner financial trouble improving wine marketed . french wine industry , world 's second largest , hit declining consumption home growing popularity new world wine . wine maker , however , claimed support go far enough . package announced agriculture minister dominique bussereau talk vintner ' representative . bulk money - 40m euro - offered form preferential loan heavily indebted producer enable reschedule payment . 15m euro made available wine cooperative , make majority french producer , low interest loan . effort promote french wine abroad boosted extra 3.5m euro funding . france fell behind 'new world ' producer australia , chile united state first time 2003 term export . domestic consumption , accounting 70 % sale , suffered strict restriction advertising tough drink-driving law . aid package would `` create positive climate around french viticulture , '' mr bussereau said . however , wine maker farmer said support much le hoping . `` afraid resource ambition , '' jean-michel lemetayer , fnsea agricultural union , told associated press news agency . effort tackle overcapacity , government agree vine destroyed area grower give unanimous consent , 500 vintner helped take early retirement . government also seek european union approval distil 250 million litre excess wine alcohol , vintner receiving compensation . production currently outstripping demand 30 % . support designed make french producer competitive face increasing global consolidation across wine industry . wine maker france 's best-known region , burgundy , found hard invest new technology create recognisable brand appeal overseas buyer ."
091.txt,"russia get investment blessing soaring oil sale budget surplus mean russian debt longer risky investment , one world 's leading credit rating agency say . standard & poor 's classed russian bond `` investment grade '' , former `` speculative '' rating . russia 's reputation among investor hurt recent month heavy tax bill asset seizure imposed company oil giant yukos . & p said solidity government finance outweighed risk . russia net creditor rather debtor . gold foreign currency reserve $ 119bn beat foreign public debt $ 113bn . two major rating agency - fitch moody 's long since upped rating russia 's sovereign debt . & p held back fear government dragging foot economic legal reform . , though , finally followed suit . agency made clear improved rating mean risk thing past . instead , russian government coffer brimming tax revenue energy sale , & p said government 's debt looking good bet . `` improvement significant outweight serious growing political risk continues key rating constraint russia , '' wrote & p credit analyst helena hessel . yukos saga high-profile political risk m hessel alludes . company 's founder ex-chief executive , mikhail khodorkovsky , jail trial tax evasion fraud . many believe real motive prosecution threatened use wealth set political alternative president vladimir putin . company , meanwhile , widely believed fallen victim kremlin 's wish get russian energy resource far possible back state control ."
092.txt,"iranian mp threaten mobile deal turkey 's biggest private mobile firm could bail $ 3bn ( $ 1.6bn ) deal build network iran mp slashed stake project . conservative parliament say turkcell 's stake irancell , new network , cut 70 % 49 % . already given veto foreign investment deal , following allegation turkish firm ' involvement israel . turkcell say may give deal altogether . iran currently one heavily congested mobile network , long waiting list new subscriber . turkcell signed contract new network september . new operator planned offer subscription $ 180 , well existing firm 's $ 500 price tag . parliamentary commission ruled turkcell 's 70 % controlling stake high . say turkcell security risk alleged business tie israel . parliament whole - dominated religious conservative - vote ruling tuesday . turkcell said ruling would `` make difficult ... turkcell 's financial consolidation irancell '' stake would reduced le 50 % . `` management control financial consolidation irancell achieved ... realisation project become risky , '' warned statement . firm refused comment whether business dealing israel , although like almost gsm operator worldwide interconnection deal israeli network customer use phone . two country strengthened tie defence economic issue 2004. israeli industry minister ehud olmert reported june attended meeting ruhi dogusoy , turkcell 's chief operating officer , executive israeli telecom firm . telecom one two area specifically targeted new veto law foreign investment , passed earlier september . airport , source controversy army closed tehran 's new imam khomeini international airport opening day may 2004. , allegation part-turkish tav consortium built ran link israel ."
094.txt,"u economy show solid gdp growth u economy grown expected , expanding annual rate 3.8 % last quarter 2004. gross domestic product figure ahead 3.1 % government estimated month ago . rise reflects stronger spending business capital equipment smaller-than-expected trade deficit . gdp measure country 's economic health , reflecting value good service produce . new gdp figure , announced commerce department friday , also topped 3.5 % growth rate economist forecast ahead friday 's announcement . growth annual rate 4 % third quarter 2004 year came 4.4 % , best figure five year . however , positive economic climate may lead rise interest rate , many expecting u rate rise 22 march . january-to-march quarter , economy expected grow annual rate 4 % , economist forecast . final quarter 2004 , business increased spending capital equipment software 18 % , 17.5 % third quarter . consumer spending grew 4.2 % final quarter , third quarter 's 5.1 % ."
093.txt,"argentina close $ 102.6bn debt swap argentina set close $ 102.6bn ( £53.51bn ) debt restructuring offer bondholder later friday , government hopeful creditor accept deal . estimated loss bondholder 70 % original value bond , yet majority expected accept government 's offer . argentina defaulted debt three year ago , biggest sovereign default modern history . yesterday argentina 's economy minister , roberto lavagna , said estimated result restructuring would ready around next thursday ( 3 march ) . argentina 's president , nestor kirchner , said friday : `` year ago started swap ( negotiation ) , told u crazy , irrational . '' added government close achieving : `` best debt renegotiation history . '' country default $ 102.6bn - based original debt $ 81.8bn plus interest - past three year . offer go ahead , international lawsuit behalf aggrieved investor could follow analyst optimistic go , despite tough term bondholder . 70 % 80 % bondholder expected accept term offer . 18 february , creditor holding $ 41bn - 40 % total debt - accepted offer . sorting debt would enhance country 's credibility international market enable attract foreign investment . argentina 's bondholder , 38.4 % reside argentina , 15.6 % italy , 10.3 % switzerland , 9.1 % united state , 5.1 % germany 3.1 % japan . investor uk , holland luxembourg 1 % remainder broken country . deal likely taken enthusiastically domestic investor , benefit argentina 's economy becomes stable ."
095.txt,"profit slide india 's dr reddy profit indian drugmaker dr reddy 's fell 93 % research cost rose sale flagged . firm said profit 40m rupee ( $ 915,000 ; £486,000 ) three month december sale fell 8 % 4.7bn rupee . dr reddy 's built reputation producing generic version big-name pharmaceutical product . competition intensified firm company short new product launch . recent annoucement december 2000 exclusive marketing right generic version famous anti-depressant prozac maker , eli lilly . also lost key court case march 2004 , banning selling version pfizer 's popular hypertension drug norvasc u . research development new drug continuing apace , r & spending rising 37 % 705m rupee - key cause decrease profit alongside fall sale . patent number well-known product due run near future , representing opportunity dr reddy , whose share listed new york , indian generic manufacturer . sale dr reddy 's generic business fell 8.6 % 966m rupee . another staple firm 's business , sale ingredient drug , also performed poorly . sale 25 % previous year 1.4bn rupee face strong competition home , u europe . dr reddy 's indian competitor gathering strength although face heavy competitive pressure ."
097.txt,"'strong dollar ' call halt slide u dollar 's slide euro yen halted u treasury secretary john snow said strong dollar `` america 's interest '' . analyst said gain likely short-lived problem u economy still significant . also pointed positive comment apart , president george w bush 's administration done little stop dollar 's slide . weak dollar help boost export narrow current account deficit . dollar trading $ 1.2944 euro 2100gmt , still close $ 1.3006 record level set 10 november . japanese yen , trading 105.28 yen , hitting seven-month low 105.17 earlier day . policy maker europe called dollar 's slide `` brutal '' blamed strength euro dampening economic growth . however , unclear whether minister would issue declaration aimed curbing euro 's rise monthly meeting eurozone minister late monday . higher growth europe regarded u official way huge u current account deficit - weighing dollar - could reduced . mr snow currently dublin start four-nation eu visit , applauded ireland 's introduction lower tax deregulation helped boost growth . `` eurozone growing potential . major part global economy potential negative consequence ... citizen economy ... trading partner , '' said . mr snow 's comment may helped shore dollar monday , careful qualify statement . `` basic policy , course , let open , competitive market set value , '' explained . `` market driven fundamental towards fundamental . '' u official also said economy need grow , u main global growth engine . economist say fundamental , key indicator , u economy looking far rosy . domestic consumer demand cooling , heavy spending president bush pushed budget deficit record $ 427bn ( £230bn ) . current account deficit , meanwhile , hit record $ 166bn second quarter 2004. many analyst , weaker dollar stay . `` end sight , '' said carsten fritsch , strategist commerzbank . `` matter time euro reach $ 1.30 . '' analyst maintain u secretly happy lower dollar help make export cheaper europe , thus boosting economy ."
096.txt,"burren awarded egyptian contract british energy firm burren energy awarded two potentially lucrative oil exploration contract egypt . company successfully bid two contract , granted government owned oil firm , covering onshore offshore area gulf suez . burren energy already presence egypt , awarded exploration contract last year . firm , floated 2003 , recently announced deal buy 26 % indian firm hindustan oil exploration . £13.8m deal give burren energy access indian oil gas industry . latest contract expands burren energy 's global exploration production portfolio - also hold contract turkmenistan republic congo . `` asset significantly increase exploration portfolio egypt continue investigate opportunity region , '' said chief executive finian o'sullivan ."
099.txt,"gm , ford cut output sale fall u car firm general motor ( gm ) ford forced cut production face falling car sale . u sale gm sank 12.7 % february compared year ago ford sale dropped 3 % foreign rival took bigger share market . meanwhile , asian carmaker fared well - toyota sale jumped 11 % rival nissan notched 10 % increase . overall . sale across industry also fell 1.25 million vehicle 1.27 million year earlier . gm ford blamed high fuel price low sale big truck gas-guzzling sport utility vehicle ( suv ) - vehicle provide biggest profit . gm added u truck sale fell 9 % february car business tumbled 17 % , however acknowledge new product - pontiac g6 chevrolet cobalt - put solid performance . `` calendar year starting slower expected , gm industry , '' said mark laneve , gm 's vice president north american sale , service marketing . slump sale prompted group cut production north america 3 % - already reduced output around 9 % face growing stockpile . meanwhile , ford posted ninth consecutive drop monthly u sale , said cutting first-quarter north american production another 10,000 vehicle , 1.2 % . chrysler , u unit germany 's daimlerchrysler , detroit based automaker boast increase market share month - sale rising 8 % . america 's loss foreign rival ' gain continued nibble away u market . japan 's top car maker toyota nissan saw sale accelerate , even smaller suzuki motor corp snapped business sale improving 17.6 % year ago . 2003 , firm launched ambitious plan triple u sale 2007 seek become bigger player asian assault u market . korea 's hyundai another big gainer , turning 19 % surge february sale . toyota put rise sale strong result redesigned avalon sedan 120 % surge sale gas-electric prius hybrid mid-size sedan petrol-price conscious consumer looked vehicle cheaper run . `` gas price continue upward march , fuel efficiency catch public eye , '' jim press , vice president chief operating officer toyota 's u sale arm , said statement ."
100.txt,"ebbers denies worldcom fraud former worldcom chief bernie ebbers denied claim knew accountant doctoring book firm . speaking court , mr ebbers rejected allegation pressured ex-chief financial officer scott sullivan falsify company financial statement . mr sullivan `` made accounting decision , '' told federal court , saying finance chief `` keen command number '' . mr ebbers denied charge fraud conspiracy . second day questioning new york trial mr ebbers played working relationship mr sullivan denied frequently met discus company business questioned prosecution . `` lot week , would speak ... three four time , '' mr ebbers said , adding conversation finance rarely one-on-one usually discussed `` group people '' instead . mr ebbers relationship mr sullivan key case surrounding financial corruption led collapse firm 2002 following discovery $ 11bn accounting fraud . prosecution 's star witness mr sullivan , one six worldcom executive indicted case , pleaded guilty fraud appeared prosecution witness part agreement prosecutor . time witness stand mr sullivan repeatedly told juror met frequently mr ebbers , told change made worldcom 's account hide cost warned practises improper . however case tuesday mr ebbers denied allegation . `` n't advised scott sullivan anything ever wrong , '' told court . `` 's never told made entry n't right . , would n't today . '' mr ebbers could face jail sentence 85 year convicted charge facing . shareholder lost $ 180bn worldcom 's collapse , 20,000 worker lost job company went bankrupt . company emerged bankruptcy last year known mci ."
101.txt,"australia rate four year high australia raising benchmark interest rate highest level four year despite sign slowdown country 's economy . reserve bank australia lifted interest rate 0.25 % 5.5 % , first upwards move year . however , shortly bank made decision , new figure showed fall economic growth last quarter . bank said acted curb inflation move criticised analyst . rate hike first since december 2003 well-flagged advance . however , opposition party analyst said move ill-timed given data showing australian economy grew 0.1 % october december 1.5 % annual basis . figure , representing decline 0.2 % growth gdp seen july september , market expectation . consumer spending remains strong , however , bank concerned growing inflationary pressure . `` recent month become increasingly clear remaining spare capacity labour good market becoming rather limited , '' said ian macfarlane , governor reserve bank . 2.6 % , inflation remains within bank 's 2-3 % target range . however , export declined second half 2004 , fuelling rise country 's current account deficit - difference value import compared export - record australian dollar 29.4bn . australian government said economy remained strong unemployment near 30 year low . `` economy strong properly moderating n't look like 's slowing unreasonable way , '' said treasurer peter costello . stock market factored likelihood rate rise analyst still expressed concern strength economy . `` 1.5 % annual growth rate lowest seen since post-election slump saw back 2000-1 , '' said michael blythe , chief economist commonwealth bank australia . `` suggests economy really slow sharply second half 2004 . ''"
098.txt,"imf 'cuts ' german growth estimate international monetary fund cut 2005 growth forecast german economy 1.8 % 0.8 % , financial time deutschland reported . imf also reduce growth estimate 12-member eurozone economy 2.2 % 1.6 % , newspaper reported . german economy faltering , unemployment level rising seventy-year high 5.2 million . sluggish performance continues hamper entire eurozone . imf 's draft world economic outlook - due published april - would point marked deterioration germany 's economy , ft report said . september , imf said german growth current year would 1.8 % . imf also revised eurozone forecast , paper said , taking account high oil price , strength euro weak demand many world 's leading economy . europe 's economic difficulty highlighted organisation economic co-operation development , argued report published tuesday continent could achieve u living standard freeing labour market . `` eurozone look like self-sustaining recovery , '' james carrick , economist abn amro , told newspaper . `` dependant rest world . ''"
102.txt,"u company admits benin bribery u defence telecommunication company agreed pay $ 28.5m admitting bribery west african state benin . titan corporation accused funnelling $ 2m 2001 re-election campaign president mathieu kerekou . time , titan trying get higher price telecommunication project benin . suggestion mr kerekou aware wrongdoing . titan , california-based company , pleaded guilty falsifying account violating u anti-bribery law . agreed pay $ 13m criminal penalty , well $ 15.5m settle civil lawsuit brought u financial watchdog , security exchange commission ( sec ) . sec accused titan illegally paying $ 2.1m unnamed agent benin claiming tie president kerekou . money used pay t-shirt campaign slogan ahead 2001 election . shortly poll , mr kerekou , benin official agreed quadruple titan 's management fee . prosecuting attorney carol lam said : `` u company take note attempting bribe foreign official criminal conduct appropriately prosecuted . '' company say longer tolerates practice . u foreign corrupt practice act , crime american firm bribe foreign official ."
103.txt,"u insurer marsh cut 2,500 job 2,500 job go u insurance broker marsh & mclennan shake following bigger-than-expected loss . insurer said cut part cost-cutting drive , aimed saving million dollar . marsh posted $ 676m ( £352m ) loss last three month 2004 , $ 375m ( £195.3m ) profit year . blamed $ 850m payout settle price-rigging lawsuit , brought new york attorney general elliot spitzer . settlement announced january , marsh took pre-tax charge $ 618m october-to-december quarter , top $ 232m charge previous quarter . `` clearly 2004 difficult year mmc 's financial history , '' marsh chief executive michael cherkasky said . ongoing restructuring drive group also led $ 337m hit fourth quarter , world 's biggest insurer said . analyst expect latest round cut focus brokerage unit , employ 40,000 staff . latest layoff take total number job go firm 5,500 expected lead annual saving $ 375m . part effort cut cost , company said halving dividend payment 17 cent share 34 cent , move enable save $ 360m . looking ahead , mr cherkasky forecast profitable growth year ahead `` operating margin upper-teens , opportunity margin expansion '' . meanwhile , company also announced would spin-off mmc capital private equity unit , manages $ 3bn trident fund operation , group employee . marsh say move would take place , said signed letter intent . insurer hit headline october last year faced accusation price rigging . new york attorney general elliot spitzer sued company , accusing receiving illegal payment steer client selected firm well rigging bid fixing price . january , marsh agreed pay $ 850m settle suit - figure line placement fee collected 2003 - agreed change business practice . february , former senior executive pleaded guilty criminal charge wide-ranging probe fraud bid-rigging insurance industry . january , former senior vice president also pleaded guilty criminal charge related investigation . effort reform business practises , marsh said already introduced new leadership , new compliance procedure new way dealing customer . `` result , ready put matter behind u move ahead 2005 restore trust client placed u rebuild shareholder value , '' mr cherkasky said ."
104.txt,"u seek new $ 280bn smoker ruling u justice department try overturn court ruling threw claim $ 280bn ( £149bn ) damage tobacco firm . earlier month , three-judge appeal court panel rejected claim - filed 1999 administration bill clinton - 2-1 decision . government lawyer said would ask full u court appeal district columbia hear case . court room battle seen key government attempt fight smoking . `` 's pretty clear 've suffered severe setback , '' said anthony sebok , professor brooklyn law school , adding appeal government `` would expected ask '' . prosecutor argued tobacco firm lied danger smoking , ignored research highlighted problem , looked increase addiction manipulating nicotine level targeted young advert . among firm accused altria group , rj reynolds tobacco , lorillard tobacco , liggett group brown williamson . prosecutor went company using legislation put place fight organised crime , accused firm conspiring running `` racketeer influenced corrupt organisation '' . tobacco company denied charge , saying never illegally conspired promote smoking fool public . also said met many government 's demand laid landmark $ 206bn settlement hammered 1998 46 state . three-judge panel agreed company , finding case could brought federal anti-racketeering law . central government 's case meeting plaza hotel , new york , 15 december , 1953. prosecutor contend executive major tobacco firm met agreed present unified strategy denying harmful effect smoking . despite denying decade smoking could linked illness , company modified stance recent year . altria 's philip morris accepts nicotine harmful , company 's main lawyer william ohlemeyer told bbc last year earlier statement may wrong dishonest . government lawyer 21 march file appeal ."
105.txt,"budget aston take porsche british car maker aston martin gone head-to-head porsche 's 911 sport car launch cheapest model yet . price tag £80,000 , v8 vantage ten thousand pound cheaper existing aston model . vantage `` important car history company '' , said aston 's chief executive ulrich bez . aston - whose car famously used james bond - unveil vantage geneva motor show thursday . mr bez - former executive rival porsche - said new car company 's `` affordable car ever make brand accessible '' . turn would make aston martin `` globally visible , still , exclusive '' , added . first shown concept car 2003 north american international auto show detroit , v8 vantage available uk late summer . development cost vantage kept low sharing platform aston 's db9 , mr bez described `` previous important car company '' . currently 18 month waiting list db9 , mr bez said . vantage built new aston factory gaydon , near warwick , double aston 's total output 2,000 presently ."
106.txt,"golden rule 'intact ' say ex-aide chancellor gordon brown meet golden economic rule `` margin spare '' , according former chief economic adviser . formerly one mr brown 's closest treasury aide , ed ball hinted budget giveaway 16 march . said hoped would done build current tax credit rule . rate rise ahead expected may election would affect labour party 's chance winning , added . last july , mr ball right step treasury position run parliament , defending labour stronghold normanton west yorkshire . mr ball rejected allegation mr brown sidelined election campaign , saying playing `` different '' role one played last two election . rejected speculation mr brown considering becoming foreign secretary , saying recent travel linked effort boost international development . gordon brown 's decision announce date budget trip china `` sensible thing '' , since talking skill investment time , mr ball told bbc . commenting speculation interest rate rise , said within remit bank england 's monetary policy committee ( mpc ) factor potential election rate decision . expectation rate rise gathered pace figure showed house price still rising . consumer borrowing rose near-record pace january . `` n't believe would big election issue britain problem labour , '' mr ball said . prime minister tony blair yet name date election , pundit betting 5 may likely day ."
108.txt,"slowdown hit u factory growth u industrial production increased 21st month row february , slower pace january , official figure show . institute supply management ( ism ) index fell 55.3 february , adjusted 56.4 january . although index lower january , fact held 50 show continued growth sector . `` february another good month manufacturing sector , '' said ism survey chairman norbert ore. `` overall rate growth slowing , overall picture improving price increase shortage becoming le problem . export import remain strong , '' said . analyst expected february 's figure stronger january 's come 57. 20 manufacturing sector surveyed ism , 13 reported growth . included textile , apparel , tobacco , chemical transportation sector . ism 's index national manufacturing activity compiled response purchasing executive 400 industrial company ."
